(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B08DJYWZRQ,B01MXS8EUQ,"Southern Marsh Men's Stewart Pocket Gingham T-Shirt, Short Sleeve Tee, Red with Navy, X-Large",6,0,0.02%,0.00%,7,0,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MXT8KS1,B01MXT8KS1,Ls Authentic Heritage - North Carolina,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MXT8NCZ,B01MXT8NCZ,Southern Marsh The Seawash Grayton Twill Pant,30,0,0.12%,0.00%,55,0,0.18%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N1NB2M0,B01MYUQE41,"Southern Marsh Hanover Boxer - Blue Dolphin, Wharf Purple, X-Small",5,1,0.02%,0.46%,6,1,0.02%,0.37%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MZ91M4Y,B01MZ91M4Y,Southern Marsh Savannah Lounge Pant,3,0,0.01%,0.00%,5,0,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N33JEME,B01MZ9HN68,"Southern Marsh Carlyle Sporting Vest - Heathered, Dark Olive, Small",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00NB9R6MM,B01MZ9IFY0,"Southern Marsh Men’s Authentic Heritage Long Sleeve T-Shirt, Florida Long Sleeve Tee, Bimini Green, Large",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06WLHVKVJ,B01MZH6H23,"Southern Marsh Youth Authentic, Washed Slate, Youth Small",9,0,0.04%,0.00%,10,0,0.03%,0.00%,16.67%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N0Q5J9Z,B01N0Q5J9Z,Southern Marsh Trucker Hat Cattail in Bimini Green,14,0,0.06%,0.00%,20,0,0.07%,0.00%,92.86%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N0Q5NFA,B01N0Q5NFA,"Southern Marsh Trucker Cattail Hats, Unisex Hat, Breaker Blue, Regular",4,0,0.02%,0.00%,5,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N17WTP1,B01N17WTP1,Southern Marsh Men’s Shoals Seawash Swim Trunks – Quick-Dry Lightweight Swimming Shorts,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0DP5VBZL5,B01N1MAXC6,"Southern Marsh Men's Stewart Pocket Gingham T-Shirt, Short Sleeve Tee, Red with Navy, Medium",4,0,0.02%,0.00%,4,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01M0JTRAT,B01N1NM8O2,"Southern Marsh Youth’s Authentic Heathered T-Shirt, Long Sleeve Tee, Washed Dark Green, Small",17,0,0.07%,0.00%,21,0,0.07%,0.00%,94.74%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N1RO8QR,B01N1RO8QR,Southern Marsh Trucker Hat Flying Duck in Royal Blue,5,1,0.02%,0.46%,6,2,0.02%,0.74%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N33JEME,B01N224C9O,"Southern Marsh Carlyle Sporting Vest - Heathered, Dark Olive, X-Small",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MUAEMU2,B01N224FP9,"Southern Marsh Men's Stewart Pocket Seersucker T-Shirt, Short Sleeve Tee, Melon with Blue, Large",35,0,0.15%,0.00%,46,0,0.15%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MR98BSF,B01N2TA7PL,"Southern Marsh, Trucker Hat - Flying Duck, Midnight Gray, One Size",16,0,0.07%,0.00%,19,0,0.06%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01M0JTRAT,B01N2W07F0,"Southern Marsh Youth Ls Authentic, Washed Moss Blue, Youth Small",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00N5AHN7K,B01N2Y4D7D,"Southern Marsh Ls Authentic, Midnight Gray, Large",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N33JEME,B01N33HR7H,"Southern Marsh Carlyle Sporting Vest - Heathered, Washed Gray, Small",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00WNJ8C1U,B01N33MLE8,"Southern Marsh Signature Hat, Navy with Pink",13,0,0.05%,0.00%,14,0,0.05%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MTG04SG,B01N3B7E4N,"Southern Marsh Men's The Oakmont Oxford Dress Shirts, Long Sleeve Shirt, Wharf & Bisque, Medium",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00N5AHN7K,B01N48XMNI,"Southern Marsh Ls Authentic, Washed Dark Gree, Small",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00N5AHN7K,B01N4I81YY,"Southern Marsh Ls Authentic, Midnight Gray, Medium",2,0,0.01%,0.00%,2,0,0.01%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N2OWDHP,B01N4JCGX3,"Southern Marsh The Brighton Shorts - Reef, Coral, WS2",4,0,0.02%,0.00%,8,0,0.03%,0.00%,28.57%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MQR2IJ5,B01N4NR41D,"Southern Marsh Men’s Authentic Heritage Long Sleeve T-Shirt, Texas Long Sleeve Tee, Burnt Orange, Small",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01LZORR4G,B01N4VB7OX,"Southern Marsh Men’s Cashiers Washed Gingham Dress Shirts, Long Sleeve Shirt, Lilac and Blue, Small",7,0,0.03%,0.00%,9,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N5ADJU0,B01N5ADJU0,Regatta Short 6 - Flat,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0DX15TDMG,B01N5OVQGH,"Southern Marsh Men’s Authentic Heritage Long Sleeve T-Shirt, Virginia Long Sleeve Tee, Navy, Medium",6,0,0.02%,0.00%,7,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00NB9R6MM,B01N5OWSDQ,"Southern Marsh Men’s Authentic Heritage Long Sleeve T-Shirt, Florida Long Sleeve Tee, Bimini Green, Medium",4,0,0.02%,0.00%,5,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01AMSMVOW,B01N5QRORM,"Southern Marsh Station Canvas Jacket, Brown, Small",35,0,0.15%,0.00%,44,0,0.14%,0.00%,97.22%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08W22YKBG,B01N5WLPVD,"Southern Marsh Visor, Maroon with White, 0",10,0,0.04%,0.00%,10,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N0LU6QL,B01N63VYQZ,"Southern Marsh Men's Walton Plaid Dress Shirts, Long Sleeve Shirt, Navy and Blue, Small",10,0,0.04%,0.00%,19,0,0.06%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N2OWDHP,B01N6M7G1S,"Southern Marsh The Brighton Shorts - Reef, Coral, WS0",7,0,0.03%,0.00%,7,0,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09GTXKG3C,B01N6SDB8F,"Southern Marsh Dockside Swim Trunks, Red, X-Small",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00PV3JOOO,B01N6SDCC0,"Southern Marsh FieldTec Dune Pullover - Vibrant, Bimini Green, X-Small",7,0,0.03%,0.00%,7,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00NBJSYLY,B01N6YGP4L,"Tarpon Flats Fishing Short, Large, Antigua Blue Antigua Blue Large",3,0,0.01%,0.00%,3,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01BNV8HSQ,B01N7D8650,"Southern Marsh Men's Belfort Oxford Dress Shirts, Long Sleeve Shirt, Blue & Mint, Small",79,1,0.33%,0.46%,111,1,0.36%,0.37%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0779HBHWH,B01N7RPQ9I,"Southern Marsh Men’s Authentic Heritage Long Sleeve T-Shirt, Alabama Long Sleeve Tee, White, Small",12,0,0.05%,0.00%,16,0,0.05%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMTDY5Z,B01N7Z1VF1,"Southern Marsh LS Pompano,Navy,Small",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00N5AHN7K,B01N9JJHCH,"Southern Marsh Ls Authentic, Washed Moss Blue, X-Large",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01M0JTRAT,B01N9JP7FZ,"Southern Marsh Youth Ls Authentic, Washed Moss Blue, Youth Medium",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N9XMYSW,B01N9XMYSW,"Southern Marsh Men's Authentic T-Shirt, Short Sleeve Tee, Washed Bimini Green, X-Large",8,0,0.03%,0.00%,12,0,0.04%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MQR2FHC,B01NABWU2G,Southern Marsh Piedmont Range Sherpa Pullover Green X-Small,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00N5AHN7K,B01NAL3Z1M,"Southern Marsh Ls Authentic, Washed Moss Blue, Medium",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
